Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,,57.74591796,57.83782128,57.91440738,58.01090586,58.0139693,58.07217474,58.17326839,58.17480011,58.19930766,58.21462488,58.26057654,58.27589376,58.2789572,58.2789572,58.2789572,58.2789572,58.28202065,58.28202065,58.28048893,58.28048893,58.28661581,58.28814754,58.28814754,58.28814754,58.28814754,58.28814754,58.27436204,58.26670343,58.26670343,58.26670343,58.25138621,58.25138621,58.1043409,57.91900254,57.82709922,57.8255675,57.88377294,58.00171553,57.82709922,57.82709922,57.82709922,57.82709922,58.06757957,58.06911129,58.06757957,58.06757957,58.06757957,58.06757957,58.06757957,58.06911129,58.06757957,58.06757957,58.06757957,58.06757957,58.06757957,,
Albania,ALB,,44.96350365,44.96350365,45,44.89051095,45.1459854,45.25547445,45.40145985,45.25547445,45.0729927,44.89051095,43.79562044,42.84671533,41.82481752,40.94890511,39.41605839,39.23357664,40.47445255,40.65693431,40.76642336,40.80291971,40.72992701,40.65693431,40.51094891,40.62043796,40.58394161,40.54744526,40.54744526,40.76642336,40.51094891,40.91240876,41.13138686,41.13138686,41.09489051,41.09489051,41.13138686,41.27737226,41.42335766,41.56934307,41.78832117,41.75182482,41.56934307,41.60583942,40.91240876,40.94890511,39.30656934,40.87591241,40.83941606,43.10218978,43.84306569,43.84306569,43.83211679,43.84306569,43.33211679,42.85729927,42.85766423,,
Algeria,DZA,,19.09150453,18.85176384,18.688018,18.54274606,18.54400564,18.54400564,18.57927398,18.55912064,18.55912064,18.56457884,19.07554981,19.06001495,18.60152661,18.61496217,18.37018314,18.48270592,18.40335217,18.40797064,18.39831384,18.40251245,16.44637954,16.41950843,16.49298412,16.63069856,16.3959962,16.24358662,16.28179398,16.2977487,16.27381662,16.23854829,16.21587579,16.31790204,16.31664245,16.6432944,16.64707315,16.64161495,16.66428745,16.72138856,16.68150176,16.80326148,16.84020926,16.73356454,16.7548515,17.27518537,17.3028962,17.29030037,17.32011051,17.34404259,17.37385273,17.37133356,17.37721162,17.38149,17.39553436,17.39526565,17.40593012,,
American Samoa,ASM,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,17.5,20,20,23.5,23.95,24,22.5,22.5,25.2,25,25,25,24,24,24.5,24.5,24.5,24.5,24.5,24.5,24.5,,
Andorra,AND,,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,53.19148936,53.19148936,51.06382979,51.06382979,51.06382979,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.40425532,48.61702128,48.63829787,48.53191489,46.38297872,46.34042553,44.19148936,44.17021277,44.19148936,42.06382979,42.06382979,39.91489362,40.0212766,40.0212766,40.0212766,,
Angola,AGO,,45.85706265,45.88112617,45.89716852,45.92123205,45.9372744,45.96133793,45.98540146,46.00946499,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04154969,46.04475816,46.08165557,46.12176145,46.12176145,46.12176145,46.12176145,46.12176145,46.12176145,46.12176145,46.04154969,45.96133793,45.96133793,46.03352852,46.19395203,46.19395203,46.19395203,46.19395203,46.27416379,46.27416379,46.75543435,46.83564611,47.31691666,47.31691666,47.47734018,47.47734018,47.47734018,,
Antigua and Barbuda,ATG,,22.72727273,20.45454545,22.72727273,20.45454545,25,25,22.72727273,22.72727273,25,25,25,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,18.18181818,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,,
Arab World,ARB,,30.94429248,30.94414568,30.96711979,30.97658835,30.99963586,31.00616844,31.05747484,31.08639433,31.14181111,31.20434767,31.39944411,31.44678693,31.44218166,31.49473601,31.47227563,31.54097797,31.56182355,31.60446891,31.6154055,31.69431043,31.38871715,31.41292005,31.45970516,31.87123068,32.36891451,32.95112277,33.50530693,34.09639657,34.6160534,35.02748938,35.11793277,35.2790364,39.22633357,39.37049082,39.47119538,39.55336354,39.54987412,39.58699241,39.60144336,39.60215534,39.63686612,39.7270011,39.90655785,39.95997892,40.05934161,40.07817957,40.12350051,40.0634208,37.50697046,37.38339582,35.05973024,35.0875794,35.16594353,35.20400528,35.21064556,,
Argentina,ARG,,50.3633952,49.85365533,49.28398905,48.70738008,48.15306081,47.84904392,47.39411479,47.22310528,47.24758741,47.23954851,47.19350749,47.14746646,47.10142544,47.05538442,47.0093434,46.96330238,46.91726136,46.87122034,46.82517932,46.7791383,46.73309728,47.05282659,47.00715097,46.96074455,46.91470353,46.86866251,46.7495405,46.54527915,46.57816559,46.61287906,46.64759253,46.682306,46.71701947,46.75282915,46.78827343,46.8237177,46.85770036,46.89241383,46.92237703,46.95818671,46.99326559,47.0312677,47.8254753,49.09032444,50.35188494,51.56009632,52.63036734,52.71367966,52.54230476,53.89028352,54.18260746,54.53814645,54.51804918,54.33571212,54.33571212,,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.09589041,41.48226203,42.14963119,43.69511767,45.87284861,46.78609062,46.64559185,46.46996839,46.46996839,46.64559185,48.85844749,50.7200562,52.86266245,56.37513172,61.69301019,61.53494907,61.42606252,61.33825079,60.94134176,59.6452406,59.11485774,59.08324552,59.04776958,58.88408851,,
Aruba,ABW,,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,,
Australia,AUS,,60.08421957,60.35796571,60.72022702,61.05059683,61.56697864,61.72031813,62.05537404,61.80714109,62.34369915,62.71390078,62.90472905,63.06145295,63.39468649,63.48710673,63.371256,63.49309452,62.30048293,62.02960051,62.54337894,62.86216367,62.83808235,62.23149317,61.32603517,61.57517931,61.56489593,61.29479453,61.31236739,61.47677128,60.79910964,60.46119001,60.2650248,60.6820874,59.91512958,61.06244224,60.31370813,60.55751533,60.16427372,60.37072231,59.06160915,59.29213907,59.31817294,58.1856996,57.20942947,57.28883277,57.94475613,56.61390469,55.38041993,54.31810786,53.24303919,51.88289965,53.32681619,52.78028715,51.62715593,52.88377179,47.63065749,,
Austria,AUT,,43.05400823,42.75853718,42.25962703,42.09857108,41.94962461,41.24485348,40.85371761,40.67934124,40.58004359,40.39476871,40.21433761,40.04722693,39.01913296,38.83870186,38.62315331,38.55049649,38.47905062,38.51780092,38.05885202,38.03584403,38.21022039,38.05643013,36.64204408,36.73044321,36.78251393,36.6529426,36.66747396,36.9132962,36.94114798,36.61782514,36.77524824,36.48583192,36.31629935,36.25696295,36.09953984,36.00508598,35.89973359,35.84281908,35.78590458,35.60426253,35.31242432,35.14410269,34.93860499,34.72269315,34.59433277,34.43085493,34.27183996,34.02116787,33.84678728,33.65830618,33.39712455,33.13225283,32.91369304,32.89022454,32.94172534,,
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.42898687,53.55396133,53.90725453,53.94450653,54.3903289,55.14137736,56.34838492,56.73659392,57.38635676,57.45000242,57.43179452,57.52552872,57.51524095,57.56835229,57.55291213,57.56453545,57.56834933,57.57909516,57.67034456,57.69193544,57.68709623,57.70454518,57.70054317,57.7017529,,
"Bahamas, The",BHS,,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.498501499,1.498501499,1.398601399,1.398601399,1.398601399,1.398601399,1.398601399,,
Bahrain,BHR,,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,11.5942029,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,13.04347826,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,12.67605634,12.67605634,12.67605634,12.67605634,12.67605634,12.67605634,12.67605634,14.08450704,12.95774648,12.95774648,12.95774648,12.36111111,11.91780822,11.75675676,11.55405405,11.2,10.78947368,11,11.28608924,11.2125163,11.16883117,11.16883117,11.15434501,11.15434501
Bangladesh,BGD,,72.82784052,72.80479373,72.82784052,73.13513098,74.0339556,74.133825,74.47952677,74.27978797,74.32588154,74.4948913,74.47952677,76.75347622,76.7381117,76.7381117,76.85334562,76.80725206,76.75347622,76.72274718,76.69201813,76.72274718,76.67665361,76.65360682,76.54605516,77.28355228,77.03003764,77.13758931,77.70607667,80.10294231,80.22585849,79.78796958,79.28094031,73.35791657,72.56664362,71.89060459,72.01352078,71.65245448,71.94438043,72.47445648,72.87393409,72.21325958,72.23630637,71.85219329,71.66013674,71.62172544,71.5295383,71.29138818,71.18383652,71.08396712,71.03019129,70.99177998,70.12368441,70.06222632,69.97003918,69.90089882,70.63232696
Barbados,BRB,,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,41.86046512,41.86046512,41.86046512,39.53488372,39.53488372,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,34.88372093,32.55813953,32.55813953,32.55813953,32.55813953,32.55813953
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.29757444,46.11516466,46.07572471,46.04121475,46.01163479,45.87852495,45.88345494,45.75527509,45.61230527,45.000986,44.49539023,44.30311098,44.16448893,44.12069221,44.1498275,43.94282898,43.94775752,44.014397,43.85411533,43.73860332,43.34926815,43.00428762,42.54102804,42.29461338
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.89167768,45.7992074,45.87516513,45.97754293,45.94782034,45.67371202,45.57463672,45.14200793,45.08916777,45.0330251,44.77212682,44.11162483,43.98943197,44.13804491,43.9663144,43.85733157
Belize,BLZ,,3.463393249,3.463393249,3.507233669,3.507233669,3.507233669,3.55107409,3.55107409,3.55107409,3.594914511,3.594914511,3.638754932,3.638754932,3.682595353,3.682595353,3.726435774,3.726435774,3.770276195,4.077159141,4.120999562,4.208680403,4.252520824,4.252520824,4.252520824,4.252520824,4.427882508,4.515563349,4.910127137,5.0416484,5.260850504,5.523893029,5.699254713,5.962297238,6.269180184,6.269180184,6.400701447,6.444541868,6.488382288,6.488382288,6.57606313,6.532222709,6.532222709,6.663743972,6.663743972,6.663743972,6.663743972,6.663743972,6.663743972,6.663743972,6.795265235,6.882946076,6.882946076,7.014467339,7.014467339,7.014467339,7.014467339
Benin,BEN,,12.78822277,12.96559063,13.1429585,13.32032636,13.49769422,13.76374601,14.11848173,14.38453352,15.13834693,15.31571479,15.75913444,16.02518624,16.2025541,16.46860589,16.82334161,17.0893934,17.35544519,17.53281305,17.71018092,17.97623271,18.2422845,18.53494147,18.6236254,18.71230933,18.88967719,19.42178077,19.5104647,19.59914863,19.68783256,20.13125222,20.21993615,20.35296204,20.57467187,21.28414331,22.34835048,24.03334516,25.62965591,27.04859879,27.58070238,28.33451579,28.9553033,29.8421426,30.74671869,31.633558,31.21674353,29.57609081,29.62043278,30.55161405,29.70911671,30.50727208,31.30542746,32.81305427,33.25647393,33.25647393,33.25647393
Bermuda,BMU,,8,6,6,8,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6
Bhutan,BTN,,7.726387432,7.769192903,7.769192903,7.811998373,7.833401109,7.876206579,7.876206579,7.91901205,7.91901205,8.175844873,8.175844873,8.240053079,8.240053079,8.389872226,8.389872226,8.518288637,8.561094108,8.561094108,8.668107784,8.839329666,8.839329666,8.946343343,9.203176166,9.50281446,9.50281446,9.50281446,9.9522719,9.845258224,9.674036342,9.716841812,10.78697858,10.78697858,10.80838131,12.78894472,14.1959799,14.32160804,14.3718593,14.3718593,14.3718593,13.31658291,13.44221106,13.44221106,13.49246231,15.32124774,15.55736286,15.13760264,14.77031246,13.67631241,13.64220689,13.64220689,13.63171288,13.63171288,13.63171288,13.78912296,13.78912296
Bolivia,BOL,,27.73193021,27.63961968,27.51500046,27.58054094,27.61469584,27.64792763,27.68208253,27.71531432,27.93409028,27.96732207,28.3707191,28.86550355,28.90058156,29.39444291,29.89015047,29.92338226,30.41908982,30.45232161,30.94710606,30.98126096,31.47696852,31.51112342,31.54527832,32.04744761,32.01975445,32.4960768,32.51823133,32.53946275,32.74254592,32.72869934,33.04347826,33.07578695,33.42841318,33.55580172,33.78565494,33.86319579,34.0385858,34.13828118,34.21859134,34.28690114,34.2989015,34.44198283,33.82904089,33.80134773,34.11981907,34.25828487,34.51490815,34.60260316,34.77614696,34.63121942,34.66906674,34.70506785,34.73460722,34.80522478,34.80522478
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.96875,42.7734375,42.578125,42.48046875,42.3828125,42.28515625,42.1875,41.11328125,41.6015625,41.5234375,41.46484375,42.36328125,42.37109375,42.12890625,42.16796875,41.97265625,41.6015625,41.5625,41.875,42.01171875,42.109375,42.1484375,42.2265625,42.63671875
Botswana,BWA,,45.87722549,45.87722549,45.87722549,45.87722549,45.87899,45.87899,45.87899,45.87899,45.87899,45.87899,45.87899,45.8807545,45.8807545,45.8807545,45.8807545,45.8807545,45.8807545,45.8807545,45.88428352,45.88428352,45.88428352,45.88781254,45.88781254,45.88781254,45.89134156,45.89134156,45.89487057,45.89487057,45.90369312,45.91428017,45.70253913,45.61431369,45.79076456,45.87016745,45.78194202,45.78194202,45.70253913,45.57902352,45.59666861,45.79076456,45.52608826,45.60549115,45.51726572,45.57196549,45.59755086,45.52961728,45.49609161,45.66724895,45.73253578,45.63195878,45.74665184,45.67783601,45.66371994,45.87899,45.87899
Brazil,BRA,,18.01010751,18.65403068,19.32379692,19.86578354,20.38671283,20.94891926,21.48671834,22.16079176,23.18434484,23.37804823,23.88473991,24.26819843,24.63000141,25.13035197,25.53391065,25.84390786,26.14816215,26.32631183,26.62231071,26.83348209,27.01845147,27.29506804,27.37702407,27.50899123,27.64263341,28.00323996,28.21094167,28.4377864,28.64656491,28.90690991,29.30568284,29.51721316,29.84671231,30.08061602,30.9245837,30.99002888,31.05547406,31.1207996,31.19820917,31.27561874,31.52196541,31.80946957,32.12066321,32.55891861,32.59488355,32.6369264,32.49981455,32.72259139,32.72737714,32.71816457,32.94668431,32.97468097,33.35767288,33.81003429,33.81003429
British Virgin Islands,VGB,,40,40,40,40,40,53.33333333,53.33333333,53.33333333,53.33333333,53.33333333,53.33333333,53.33333333,53.33333333,53.33333333,53.33333333,53.33333333,53.33333333,53.33333333,53.33333333,53.33333333,53.33333333,60,60,60,60,60,60,60,60,53.33333333,53.33333333,53.33333333,53.33333333,53.33333333,53.33333333,53.33333333,53.33333333,53.33333333,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667
Brunei Darussalam,BRN,,3.984819734,3.984819734,3.984819734,4.554079696,4.554079696,4.364326376,4.364326376,4.554079696,4.554079696,4.554079696,3.605313093,3.415559772,3.415559772,3.415559772,3.415559772,3.225806452,2.84629981,2.84629981,2.84629981,2.65654649,2.65654649,2.466793169,2.466793169,2.277039848,2.277039848,2.277039848,2.277039848,2.277039848,2.277039848,2.087286528,2.087286528,2.087286528,2.087286528,2.087286528,1.897533207,1.897533207,1.897533207,1.897533207,1.897533207,1.897533207,2.087286528,2.087286528,2.087286528,2.087286528,2.087286528,1.954459203,2.163187856,2.163187856,2.542694497,2.542694497,2.542694497,2.542694497,2.732447818,2.732447818,2.732447818
Bulgaria,BGR,,51.27903824,51.38750791,51.45982103,52.17391304,52.36373497,52.44508723,52.99647474,53.15917925,54.43369791,54.32522824,54.3161891,54.43369791,54.07213233,54.57832414,53.82807557,56.02458646,56.09689958,56.14209527,56.09689958,55.87092109,55.85284281,55.87996023,55.83476453,55.78956883,55.76245141,55.735334,55.735334,55.69917744,55.75341228,55.67206002,55.6901383,55.62686432,55.32857272,55.67206002,55.71725572,55.71725572,56.06978216,51.02594233,51.33327307,50.45647654,49.69718883,48.94301471,48.96570746,49.00698786,48.46281296,47.77685722,47.1043182,46.96620937,46.33382461,46.53647752,46.86809138,47.19049374,46.01142225,45.84561533,46.16709654
