Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.50068213,30.48278443,26.05962532,27.0954024,32.34761424,25.17574281,24.75920721,20.12741112,18.14905453,18.39908028,16.08528857,14.8355783,13.95477728,12.42599594,10.98789023,9.1,7.1,6.7,5.6,6.1,5.5,5.1,5.139769508,5.36626448,5.3,6.2,5.6,5.630989333
"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,,,,,,,,2.043016021,1.904597833,1.811931244,1.827560863,,2.012508165,2.208528111,2.833734041,2.663010614,2.461287193,2.675084382,2.834149898,2.646910502,1.561818974,1.378559449,1.26759042,1.344646857,1.198629931,1.513315828,1.347224211,1.16175186,1.064435453,1.170424648,1.093391246,1.043131294,0.909640992,1.097490432,1.092304713,1.072711161,0.914599721,0.85239977,0.818330606,0.880156773,1.001471785
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,0.984370952,1.012347573,1.057776481,1.153517516,1.116785836,1.194377686,1.368720049,1.342504418,1.180461174,1.135141461,0.949346076,0.882139771,0.909897,0.851378305,0.860341986,0.862944479,,,,,,,,,,,,0.29227169,0.26481051,0.337400302,0.297677228,0.290850277,0.275737043,0.274788371,0.299909669,0.315466039,0.333018733,0.29181619
Bangladesh,BGD,57.47431238,57.98823595,57.01857402,57.14666817,53.35683665,52.81869477,53.94737058,55.85247837,53.55573997,55.41281892,54.56149999,51.03131121,59.609906,56.638853,56.63655312,61.95413913,51.91445693,48.89805693,54.2503083,52.45201206,32.82389185,31.95151692,31.44169633,31.04603046,34.69863208,33.00673157,32.36915289,32.66390093,31.3191778,30.56164284,30.4898331,31.67702324,30.51752524,27.32108582,26.72553755,27.3043698,23.26620805,23.24614375,22.58741576,22.65841112,22.71814808,21.84834058,20.58413442,19.8127183,19.26695957,18.57103955,18.03401651,17.80653678,17.59569554,17.10462905,17.00118126,16.80998676,16.17756317,15.493278,15.3516209,14.78299741,14.04554784,13.41346464
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.425482246,3.480393371,3.447126967,3.246264123,2.44054635,3.138806462,3.267367553,2.619261224,1.954543882,2.28780826,1.955790485,2.07594693,1.851968703,1.939020108,1.610539645,1.554922639,1.443507747,1.352859906,1.22848523,1.421950587,1.317898087,1.225085284,1.317555596,1.441734417,1.380103508,1.344851281,1.379980349,
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.94688222,22.22222222,22.82608696,17.15736041,13.58961389,15.76649671,15.0985983,13.41793201,12.06176361,12.70055756,12.09682717,10.35042974,10.12843222,8.635627708,8.850251441,8.518590809,8.578727592,8.303169959,8.666253694,8.372101145,8.891930229,8.001887744,8.130942683,6.809092448,7.303056977,6.283207583,6.895280624,7.770891358
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.300328236,1.321000415,1.330007209,1.245940118,1.068027155,1.167948509,1.103659904,1.026666051,1.02453151,1.016702443,0.836969727,0.903379976,0.884998368,0.707919063,0.649461797,0.76242021,0.643909109,0.784515927,0.687975067,0.649330198,0.683393839,0.617491913,0.617812139
Belize,BLZ,,,,,,,,,,,,,,,,,,,28.98019076,28.06324111,23.97946085,23.04302748,19.74895397,18.94179894,18.34992888,17.82930911,18.06012728,19.70710541,18.79961893,18.07792923,17.37077836,15.86486576,15.96142591,15.11297726,15.07264097,15.93323867,15.80781273,15.42513931,14.76305727,15.55748835,14.64928925,13.10231246,12.68579865,14.49471541,14.33244269,13.3074178,12.72389508,11.53178114,10.97617927,11.21103162,11.49666478,11.44511493,13.06331171,13.44273318,13.46865569,12.57330056,10.59378042,10.85418934
Benin,BEN,46.15772309,46.19378573,44.70927268,43.71836971,45.52815226,44.61942503,45.14781983,42.0810132,38.868069,38.49666283,36.32785238,34.35773601,34.23102234,33.62392031,31.53369577,30.53866655,33.19650626,31.85508538,34.54214391,34.99288604,35.43268847,32.66465235,32.50119968,33.1576443,33.31156053,31.54554889,33.67105902,33.27995076,34.38009319,37.85688479,34.65494536,35.0437735,33.94190414,34.1194608,32.29399457,33.09015959,35.70530039,35.78193016,36.57664979,23.18096733,22.88978789,22.95006871,23.87036167,22.80817693,24.75508666,24.7138685,25.2370858,24.27472912,23.9691932,23.76760563,22.73622617,22.84389238,22.30364479,21.34568201,21.46473591,22.49276072,23.24041643,22.44791322
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.8,0.7,0.7,0.668952155,0.69232761,0.795458124,0.821851058,0.844158465,0.801641532,0.856786816,0.767576447,0.790533047,0.740341053,0.748048452,0.788755292,0.740816721,0.745266618,,,,
