Country,Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bolivia,BOL,23.3426,22.5965,23.105,23.3572,23.4107,22.8887,23.2427,24.1251,22.8123,22.7619,22.8237,22.9276,22.6923,23.608,23.1126,22.9241,22.9967,23.762,23.6048,23.1342,22.9904,22.9864,22.7411,24.1528,23.4787
Bosnia and Herzegovina,BIH,19.8946,22.5121,20.8957,22.0298,21.7337,19.3524,19.2833,20.7593,20.3479,22.16,21.6514,20.7379,23.2123,20.3537,20.0364,21.7451,22.0379,21.1281,21.6445,21.3181,21.7868,23.1085,22.0509,19.7652,23.0837
Botswana,BWA,25.995,27.4372,26.8027,27.045,28.09,27.1483,27.887,27.4589,26.8925,26.4683,27.2474,27.5472,27.6556,27.935,27.4332,26.7697,26.711,26.9224,27.6211,27.1492,26.8351,27.1449,26.9806,26.7482,28.4854
Brazil,BRA,25.9974,25.8255,25.9872,26.1809,26.1695,26.2828,26.9505,26.8819,26.1328,26.5363,26.4455,26.9941,26.5912,26.4008,26.8205,26.577,26.8244,26.843,27.164,27.1162,26.2576,27.1908,26.541,26.9653,27.3725
British Indian Ocean Territory (Chagos Archipelago),IOT,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6
British Virgin Islands,VGB,27.8498,27.54,28.0705,27.567,27.8448,27.1689,27.4046,28.1372,27.6221,27.2219,27.4342,27.2844,27.3017,27.5305,27.5969,27.4425,27.3326,27.6353,27.8305,27.7305,26.9353,28.0312,27.7103,27.736,27.7748
Brunei Darussalam,BRN,26.3241,26.3928,26.0953,26.123,26.2114,26.2969,26.3069,27.0067,26.2227,26.4902,26.3232,26.5238,26.0876,26.4229,26.3253,26.1228,26.2528,25.7453,26.2232,26.5296,25.8995,26.1258,26.4381,26.4826,26.7608
Bulgaria,BGR,21.4569,23.2998,21.5065,22.7892,22.2405,21.6963,21.132,22.598,22.5707,23.1001,23.6294,23.5755,23.6313,21.6995,21.7145,22.4137,24.1355,23.4032,22.8931,24.3471,23.1802,24.5729,23.9115,22.5285,23.5669
Burkina Faso,BFA,32.1418,32.2839,32.8093,32.7423,32.3075,31.8846,31.4699,33.8232,32.4734,33.4454,33.1414,33.1281,33.0068,32.4674,33.5932,32.905,32.6869,32.5282,32.8827,33.6351,32.8789,32.7339,32.7163,32.8836,33.5077
Burundi,BDI,21.1639,21.2352,22.0325,21.2445,22.2785,21.5192,21.8097,21.7101,21.4289,21.6544,23.0615,22.3671,22.2681,21.9276,23.0156,22.556,22.1607,22.3333,22.8675,22.5481,21.9619,22.8187,22.8577,22.1496,22.7189
