Country,Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bolivia,BOL,17.788,16.4989,17.1146,17.9678,18.4175,16.8023,18.4129,17.6783,17.3244,15.7378,16.9019,16.9853,17.3875,17.5424,17.4751,18.313,16.9307,16.1819,16.726,16.9506,18.7013,17.2136,17.5042,17.4313,18.6443
Bosnia and Herzegovina,BIH,-1.58,-0.2035,-0.9018,1.45503,-0.5594,-1.371,0.19198,-1.2249,-0.3404,-2.1871,-2.4513,-0.785,-2.9903,-1.7414,-2.2664,-1.8433,0.07183,1.31281,-0.6438,-1.2658,0.14408,-3.0502,1.10635,3.03139,1.34954
Botswana,BWA,14.0771,15.0123,14.9512,13.8925,13.626,13.6217,15.2098,16.0657,15.8466,15.3817,14.2233,14.9525,15.1949,14.4419,16.3624,14.8721,14.6572,15.5127,14.4261,15.0569,14.2218,14.9774,15.3062,14.8188,15.0798
Brazil,BRA,23.2685,22.8491,23.3993,23.2876,23.7991,22.9714,23.7487,23.8738,23.7212,22.9562,23.245,24.0269,23.9775,23.6613,23.9213,23.8359,23.949,23.3609,23.4664,23.8137,24.1581,24.159,24.2248,24.0321,24.6914
British Indian Ocean Territory (Chagos Archipelago),IOT,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4
British Virgin Islands,VGB,24.4736,24.3801,24.5335,24.581,24.1652,23.9196,23.2217,24.4771,22.7797,23.334,23.9425,24.1308,24.2373,23.3099,23.0297,23.0691,23.7753,23.2555,23.9915,24.0077,23.8377,23.7157,24.2758,24.9167,24.5409
Brunei Darussalam,BRN,24.994,24.7935,24.9866,25.3106,25.0506,24.5868,24.8453,25.5385,25.1275,25.1134,25.2536,25.0732,25.1357,25.1401,25.0002,25.2886,24.6157,24.5213,24.8951,25.1632,24.6842,25.3497,25.3173,24.3222,25.0335
Bulgaria,BGR,-2.2299,-1.0616,-1.4516,0.92546,-1.068,-1.646,0.23607,-2.5727,0.2131,-3.2112,-4.1569,-1.3252,-3.499,-1.75,-1.0333,-1.9911,-0.3015,-1.1498,-0.1771,-0.3225,-0.5286,-3.0043,0.50377,1.99838,1.6935
Burkina Faso,BFA,24.6382,23.847,23.4922,24.1306,23.3521,26.1767,26.1401,25.5379,25.2425,25.2821,25.0077,25.0357,25.6104,26.0852,25.1837,24.7407,24.6771,22.8974,24.6896,25.7335,24.8752,24.7083,25.1947,26.007,24.159
Burundi,BDI,19.3692,19.4092,18.9692,18.3753,19.7867,19.6846,20.163,19.9885,19.5834,19.5881,20.0718,20.1869,20.1676,20.0044,20.0794,19.4544,19.4244,19.872,20.5454,20.3356,19.9876,19.4081,18.7722,19.8886,20.0264
Cambodia,KHM,25.8426,24.7576,24.8336,26.0052,24.7523,24.4082,24.8306,25.5493,23.362,25.8153,25.239,25.6637,25.1789,25.4799,25.0498,25.9387,25.202,24.9291,24.1556,26.1481,25.0603,26.3872,23.6691,23.952,25.2647
Cameroon,CMR,23.3264,22.6165,23.0518,22.8372,23.8043,23.2964,23.5752,23.7288,22.9818,23.4534,22.9531,23.0931,23.4311,23.8264,23.648,23.6805,23.8042,23.2781,24.1865,23.773,24.0111,23.3515,22.8927,23.3022,23.3128
Canada,CAN,-26.044,-23.008,-23.141,-26.573,-23.061,-26.963,-24.547,-25.298,-23.738,-23.705,-22.662,-22.915,-24.42,-25.787,-24.282,-20.401,-22.51,-23.817,-23.258,-20.55,-22.468,-22.335,-23.793,-24.167,-24.603
"Cape Verde, Republic of",CPV,20.4773,20.8124,20.3365,20.3431,20.6526,20.5111,21.4074,21.9059,19.981,20.8478,20.6953,20.9489,20.0362,21.0781,20.4773,20.2496,20.9915,21.6088,19.8657,21.4592,20.6953,20.2903,21.1564,20.0932,20.2049
Cayman Islands,CYM,25.2999,24.9,25.5,25.4,25.4,25.0,25.5,26.2,25.2,25.1,24.6,25.7,24.4,25.4,24.0,23.7999,26.4,25.2,24.6,24.0,24.2999,25.0,25.4,25.4,25.2999
Central African Republic,CAF,23.3424,18.1211,18.0895,21.2277,23.6608,23.9316,18.8912,23.8709,23.2689,24.0246,23.7329,22.7285,24.2891,24.3896,24.3531,24.0316,24.1952,24.4729,24.7032,24.1954,18.9186,23.7182,19.9684,21.1868,23.5557
Chad,TCD,20.7899,16.6578,15.8236,19.621,20.0739,21.6803,16.9198,20.6937,21.7042,20.8471,20.1257,18.2651,21.4811,22.2039,20.7912,20.7759,20.1291,19.8827,22.49,22.2663,16.7661,21.1396,17.589,17.4715,20.0333
Chile,CHL,3.72548,2.78413,4.0063,3.66054,2.78712,3.45253,4.67712,5.27819,3.72975,3.27258,3.34721,2.93611,4.67963,4.11716,4.06535,4.80964,3.34413,4.23565,3.98241,2.81054,3.62931,3.72228,4.16822,4.2476,4.61876
China,CHN,-8.0178,-7.4963,-8.8825,-7.4931,-8.235,-8.4856,-7.6502,-8.7959,-6.716,-8.7686,-8.1598,-6.7963,-7.6071,-7.3648,-7.919,-7.6989,-6.8452,-9.2915,-7.2947,-7.267,-10.823,-9.8002,-8.555,-6.714,-6.3235
Christmas Island,CXR,25.1,24.7,24.7,24.6,24.7,25.1,24.2999,24.9,25.2,25.0,25.2,25.2999,25.0,25.1,24.9,24.7999,24.7,24.7,24.9,24.7,24.7999,24.9,24.7,24.7,25.0
Cocos (Keeling) Islands,CCK,25.7,25.2999,25.6,24.9,25.6,25.7999,24.7999,26.0,26.5,25.9,25.7,25.7999,25.4,25.2999,25.2,25.9,25.9,25.7999,25.5,26.1,25.9,26.0,25.6,26.1,25.9
Colombia,COL,23.3523,24.0576,23.8094,23.7403,23.7368,23.4939,24.1482,23.9251,23.6836,23.3574,23.7122,23.999,23.7545,23.4076,24.115,23.9269,23.7885,23.7185,24.0291,23.6756,24.0745,24.3655,23.9021,24.3146,24.6182
